Date,Total Assets,Total Liabilities,Total Current Assets,Total Current Liabilities,Total Equity,Retained Earnings,Long Term Debt
2015-03-31,261194000000,132188000000,67891000000,58729000000,129006000000,100920000000,40072000000
2015-06-30,273151000000,147474000000,70953000000,65285000000,125677000000,98252000000,47419000000
2015-09-30,290345000000,170990000000,89378000000,80610000000,119355000000,92284000000,53329000000
2015-12-31,293284000000,165017000000,76219000000,76092000000,128267000000,101494000000,53204000000
2016-03-31,305277000000,174820000000,87592000000,68265000000,130457000000,102021000000,69374000000
2016-06-30,305602000000,179061000000,93761000000,71486000000,126541000000,96542000000,68939000000
2016-09-30,321686000000,193437000000,106869000000,79006000000,128249000000,96364000000,75427000000
2016-12-31,331141000000,198751000000,103332000000,84130000000,132390000000,100001000000,73557000000
2017-03-31,334532000000,200450000000,101990000000,73342000000,134082000000,100925000000,84531000000
2017-06-30,345173000000,212748000000,112875000000,81302000000,132425000000,98525000000,89864000000
2017-09-30,375319000000,241272000000,128645000000,100814000000,134047000000,98330000000,97207000000
2017-12-31,406794000000,266595000000,143810000000,115788000000,140199000000,104593000000,103922000000
2018-03-31,367502000000,240624000000,130053000000,89320000000,126878000000,91898000000,101362000000
2018-06-30,349197000000,234248000000,115761000000,88548000000,114949000000,79436000000,97128000000
2018-09-30,365725000000,258578000000,131339000000,115929000000,107147000000,70400000000,93735000000
2018-12-31,373719000000,255827000000,140828000000,108283000000,117892000000,80510000000,92989000000
2019-03-31,341998000000,236138000000,123346000000,93772000000,105860000000,64558000000,90201000000
2019-06-30,322239000000,225783000000,134973000000,89704000000,96456000000,53724000000,84936000000
2019-09-30,338516000000,248028000000,162819000000,105718000000,90488000000,45898000000,91807000000
2019-12-31,340618000000,251087000000,163231000000,102161000000,89531000000,43977000000,93078000000
2020-03-31,320400000000,241975000000,143753000000,96094000000,78425000000,33182000000,89086000000
2020-06-30,317344000000,245062000000,140065000000,95318000000,72282000000,24136000000,94048000000
2020-09-30,323888000000,258549000000,143713000000,105392000000,65339000000,14966000000,98667000000
2020-12-31,354054000000,287830000000,154106000000,132507000000,66224000000,14301000000,99281000000
2021-03-31,337158000000,267980000000,121465000000,106385000000,69178000000,15261000000,108642000000
2021-06-30,329840000000,265560000000,114423000000,107754000000,64280000000,9233000000,105752000000
2021-09-30,351002000000,287912000000,134836000000,115868000000,63090000000,5562000000,118719000000
2021-12-31,381191000000,309259000000,153154000000,147574000000,71932000000,14435000000,106629000000
2021-12-31,381191000000,309259000000,153154000000,147574000000,71932000000,14435000000,106629000000
2022-03-31,350662000000,283263000000,118180000000,127508000000,67399000000,12712000000,103323000000
2022-06-30,336309000000,278202000000,112292000000,129873000000,58107000000,5289000000,94700000000
2022-09-30,352755000000,302083000000,135405000000,153982000000,50672000000,-3068000000,98959000000